id,text,source
1097879075979436033,"The Washington Post is a Fact Checker only for the Democrats. For the Republicans, and for your all time favorite P… https://t.co/2ig6094L72",Twitter for iPhone
1097856727020720128,"The failed Fast Train project in California, where the cost overruns are becoming world record setting, is hundreds… https://t.co/PCzq8Q0hX1",Twitter for iPhone
1097856404629700609,"As I predicted, 16 states, led mostly by Open Border Democrats and the Radical Left, have filed a lawsuit in, of co… https://t.co/uGPugSzFGu",Twitter for iPhone
1097835706024644608,"Had the opposition party (no, not the Media) won the election, the Stock Market would be down at least 10,000 point… https://t.co/yP4yfOTDU3",Twitter for iPhone
1097833456254492672,"“....(The Witch Hunt) in time likely will become recognized as the greatest scandal in American political history,… https://t.co/5w142qf3XG",Twitter for iPhone
1097698985953898497,"Remember this, Andrew McCabe didn’t go to the bathroom without the approval of Leakin’ James Comey!",Twitter for iPhone
1097697667684155392,Thank you Andrew - We all miss beautiful Meadow! https://t.co/a5PLSwpJyx,Twitter for iPhone
1097695719706845184,Thank you JT! https://t.co/L1HDeXWazc,Twitter for iPhone
1097692456911626243,Amazing! https://t.co/uUNCL1hPAk,Twitter for iPhone
1097690731882446849,"“The biggest abuse of power and corruption scandal in our history, and it’s much worse than we thought. Andrew McCa… https://t.co/epia7ZUKWN",Twitter for iPhone
1097666398778785792,Today more than 50 countries around the world now recognize the rightful government of Venezuela. The Venezuelan pe… https://t.co/80uVw9eGfn,Twitter for iPhone
1097625026801688579,"I ask every member of the Maduro regime: End this nightmare of poverty, hunger and death. LET YOUR PEOPLE GO. Set y… https://t.co/zN1R1Vl2af",Twitter for iPhone
1097624329154674689,The people of Venezuela are standing for FREEDOM and DEMOCRACY – and the United States of America is standing right by their side!,Twitter for iPhone
1097623506580357120,"We are here to proclaim that a new day is coming in Latin America. In Venezuela and across the Western Hemisphere,… https://t.co/2ketrpYKkq",Twitter for iPhone
1097592331405066242,"Hope you are enjoying your President’s Day, our Country is making unprecedented progress!",Twitter for iPhone
1097488256848007173,“This was an illegal coup attempt on the President of the United States.” Dan Bongino on @foxandfriends  True!,Twitter for iPhone
1097481581332185088,Great analysis by @foxandfriends!,Twitter for iPhone
1097473080253968384,....There is a lot of explaining to do to the millions of people who had just elected a president who they really l… https://t.co/zXI6PPXBEu,Twitter for iPhone
1097469642048716801,"Wow, so many lies by now disgraced acting FBI Director Andrew McCabe. He was fired for lying, and now his story get… https://t.co/7YgfLI8d9b",Twitter for iPhone
1097464889776459781,"“After two years and interviewing more than two hundred witnesses, the Senate Intelligence Committee has NOT discov… https://t.co/rWnLVp2udy",Twitter for iPhone
1097350271188062208,"William Barr is arriving at a Justice Department that desperately needs an infusion of credibility, writes… https://t.co/TwsuDSwgaB",Twitter for iPhone
1097280840156020736,"The Mueller investigation is totally conflicted, illegal and rigged! Should never have been allowed to begin, excep… https://t.co/5520iD07dr",Twitter for iPhone
1097247455006068738,"“These guys, the investigators, ought to be in jail. What they have done, working with the Obama intelligence agenc… https://t.co/d7eLvv9yax",Twitter for iPhone
1097201429071233024,https://t.co/r8N9m5vQlF,Twitter for iPhone
1097201248196022273,https://t.co/y61loNunTJ,Twitter for iPhone
1097117499336855553,THE RIGGED AND CORRUPT MEDIA IS THE ENEMY OF THE PEOPLE!,Twitter for iPhone
1097116612279316480,"Nothing funny about tired Saturday Night Live on Fake News NBC! Question is, how do the Networks get away with thes… https://t.co/xwSLxmNPpk",Twitter for iPhone
1097113815672647681,"52% Approval Rating, 93% in Republican Party ( a record )! Pretty amazing considering that 93% (also) of my press i… https://t.co/CNc48O4QaB",Twitter for iPhone
1097109575248068608,Democrats in the Senate are still slow walking hundreds of highly qualified people wanting to come into government.… https://t.co/DcdjojVL1R,Twitter for iPhone
1097103477329649664,"Important meetings and calls on China Trade Deal, and more, today with my staff. Big progress being made on soooo m… https://t.co/YItKARNGJy",Twitter for iPhone
