id,text,source
1107262810327785472,Happy St. Patrick’s Day! ☘️ https://t.co/WmuNzJSRr8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107260609974943745,"So it was indeed (just proven in court papers) “last in his class” (Annapolis) John McCain that sent the Fake Dossier to the FBI and Media hoping to have it printed BEFORE the Election. He &amp; the Dems, working together, failed (as usual). Even the Fake News refused this garbage!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107256142584078336,Report: Christopher Steele backed up his Democrat &amp; Crooked Hillary paid for Fake &amp; Unverified Dossier with information he got from “send in watchers” of low ratings CNN. This is the info that got us the Witch Hunt!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107253742271901696,"....Should Federal Election Commission and/or FCC look into this? There must be Collusion with the Democrats and, of course, Russia! Such one sided media coverage, most of it Fake News. Hard to believe I won and am winning. Approval Rating 52%, 93% with Republicans. Sorry!  #MAGA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107250037854212096,"It’s truly incredible that shows like Saturday Night Live, not funny/no talent, can spend all of their time knocking the same person (me), over &amp; over, without so much of a mention of “the other side.” Like an advertisement without consequences. Same with Late Night Shows......","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107029377123057664,"How is the Paris Environmental Accord working out for France? After 18 weeks of rioting by the Yellow Vest Protesters, I guess not so well! In the meantime, the United States has gone to the top of all lists on the Environment.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107025689486737410,"Google is helping China and their military, but not the U.S. Terrible! The good news is that they helped Crooked Hillary Clinton, and not Trump....and how did that turn out?","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107024074184761344,"Because the economy is so good, General Motors must get their Lordstown, Ohio, plant open, maybe in a different form or with a new owner, FAST! Toyota is investing 13.5 $Billion in U.S., others likewise. G.M. MUST ACT QUICKLY. Time is of the essence!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107020360803909632,"Spreading the fake and totally discredited Dossier “is unfortunately a very dark stain against John McCain.” Ken Starr, Former Independent Counsel. He had far worse “stains” than this, including thumbs down on repeal and replace after years of campaigning to repeal and replace!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1107001687208878085,"This is a National Emergency...
https://t.co/AAKBuNW2ro","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1106973110786494466,"Mark Morgan, Former Border Patrol Chief with great experience in Law Enforcement, really understands the subjects of Immigration and the Border. Thank you Mark!  @foxandfriends","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
